CustomerID,Lookalikes
C0001,"[('C0118', 0.9741509439375751), ('C0184', 0.9654477963568957), ('C0192', 0.9637283629512302)]"
C0002,"[('C0134', 0.9917994936540008), ('C0159', 0.9809229335384253), ('C0106', 0.9786984447335082)]"
C0003,"[('C0129', 0.9863244641676031), ('C0031', 0.9801973555671749), ('C0158', 0.9778931786413126)]"
C0004,"[('C0113', 0.9872125999615142), ('C0104', 0.9745076990921352), ('C0174', 0.9674699969668351)]"
C0005,"[('C0007', 0.9903207003668085), ('C0140', 0.9627566688858925), ('C0186', 0.9574120643822972)]"
C0006,"[('C0187', 0.9845628814136663), ('C0085', 0.9618230727357031), ('C0169', 0.9559511026617566)]"
C0007,"[('C0005', 0.9903207003668085), ('C0140', 0.9705518215649432), ('C0040', 0.9537962320202624)]"
C0008,"[('C0098', 0.9622526284073961), ('C0194', 0.9553220747582214), ('C0059', 0.953151056334708)]"
C0009,"[('C0010', 0.9594194908369826), ('C0062', 0.9538264620789496), ('C0061', 0.93964146654107)]"
C0010,"[('C0061', 0.9762971709485706), ('C0103', 0.9616974750930525), ('C0009', 0.9594194908369826)]"
C0011,"[('C0174', 0.9842877822246932), ('C0169', 0.9771866991110223), ('C0082', 0.973915620818418)]"
C0012,"[('C0137', 0.9573529521735888), ('C0039', 0.9568499784037688), ('C0187', 0.9534320708293657)]"
C0013,"[('C0048', 0.9598631908876119), ('C0190', 0.9550535608581588), ('C0087', 0.9545918725141586)]"
C0014,"[('C0073', 0.7820113475629998), ('C0062', 0.7293357076473796), ('C0060', 0.7218990899264199)]"
C0015,"[('C0036', 0.9634965237540366), ('C0185', 0.9492824387923546), ('C0042', 0.9320601327384036)]"
C0016,"[('C0183', 0.9999267988328088), ('C0067', 0.9872914273685507), ('C0072', 0.972821874465308)]"
C0017,"[('C0075', 0.9907349563705747), ('C0081', 0.9838718354774543), ('C0041', 0.9823729329183671)]"
C0018,"[('C0035', 0.9776560825616928), ('C0117', 0.9772746516418641), ('C0055', 0.9647993547557886)]"
C0019,"[('C0023', 0.9533082420740064), ('C0121', 0.9525224721745036), ('C0070', 0.9495339589973286)]"
C0020,"[('C0058', 0.9552062669035035), ('C0144', 0.9214275395555843), ('C0033', 0.8617506082548505)]"
